ogc_fid,id,canton_id,income,houses,electricity_per_household,consumed_electricity,max_consumed_electricity,area_per_household,persons_per_household,total_funding,total_price,debt,debt_rate
63,1401,14,63499.33333,1409.333333,20964.4577,3550.759415,3737.641489,137.1377971,3,7671.20087,12893.46155,5222.260677,0.405031702
49,1103,11,66019.625,951.125,25903.17184,3597.210081,3786.536927,171.6951044,3,11457.84962,16142.48057,4684.630953,0.290205147
35,506,5,59210.8,3527.466667,15544.68521,3859.195481,4062.311033,109.0251937,3.133333333,7088.444765,10250.36257,3161.917809,0.308468875
64,1402,14,73463.4,1719.4,17594.0803,3641.79055,3833.463737,115.6730513,3,6705.28731,10875.3828,4170.095486,0.383443559
70,1502,15,67120.4,3315.4,14122.43104,3712.642036,3908.044249,97.4512425,3,6654.421594,9162.19944,2507.777846,0.273709153
13,241,2,52503.25,1315.575,23785.70772,3668.187252,3861.249739,159.6843996,3.1,7188.164984,15013.25462,7825.089631,0.521212078
18,246,2,60011.35294,4666.976471,20045.69817,3539.719571,3726.020601,131.9571118,3.023529412,6148.391694,12406.38236,6257.990668,0.50441704
66,1404,14,55842.33333,989,28675.22906,3608.950301,3798.895054,189.9602373,3,10048.21068,17859.73719,7811.52651,0.437381941
14,242,2,62329.63158,5119.789474,12312.72761,3431.591928,3612.202029,79.31241734,3,4174.21565,7456.818067,3282.602417,0.4402149
72,1600,16,64884.16667,2610.166667,19716.81915,4019.357798,4230.902946,137.1346089,3.666666667,6342.547832,12893.16179,6550.61396,0.508068856
118,2223,22,73408.16216,1150.162162,18326.81331,3875.762995,4079.750521,109.9412019,3.054054054,6622.79507,10336.4841,3713.689025,0.359279712
147,2602,26,51658.53846,783.7692308,32990.17818,3836.067906,4037.966217,211.9471646,3.076923077,9448.018672,19926.91055,10478.89188,0.525866358
21,249,2,48661.38462,3005.769231,26564.83466,3508.001194,3692.632836,179.3461266,3,7925.479747,16861.81662,8936.336875,0.52997474
19,247,2,53047.28125,3279.15625,19992.47411,3598.846535,3788.259511,139.2939087,3,6423.521578,13096.17548,6672.653903,0.509511644
145,2500,25,110688.2889,10199.8,10831.48574,4249.405796,4473.058732,66.5584116,3.644444444,3695.940435,6257.708223,2561.767788,0.409377954
68,1406,14,58272.75,1188.5,27127.31609,3682.917046,3876.754785,177.7810838,3,9500.148769,16714.67397,7214.525197,0.431628233
32,503,5,193350,9279,9453.799957,3481.079326,3664.294027,66.50251146,3,5493.84418,6252.452586,758.6084067,0.121329734
38,800,8,58121.66667,13061.33333,16215.76596,3483.501942,3666.844149,118.3310349,3,8437.41381,11125.28188,2687.868066,0.241599997
45,1006,10,57246.42105,2244.894737,18925.55598,3646.833668,3838.772283,119.7236666,3,8534.456247,11256.21473,2721.758482,0.241800512
125,2230,22,71144.61538,6163.846154,13728.1068,3444.773049,3626.076893,86.14587449,2.923076923,5730.470293,8099.288041,2368.817748,0.292472343
30,501,5,66327,14782,12506.9218,3667.095116,3860.100122,83.9829051,3,6149.358941,7895.929352,1746.570411,0.22119884
60,1303,13,73177.71429,4165.357143,12146.18873,3531.176901,3717.028317,82.59806232,2.928571429,6716.912805,7765.728799,1048.815994,0.135056995
12,112,1,70985,382623,5196.941695,3207.366977,3376.175766,36.53065398,3,3369.899524,3434.549718,64.65019367,0.018823485
61,1304,13,67699.41379,1197.931034,17121.92999,3624.142326,3814.886659,116.7838539,3,8255.273426,10979.81856,2724.545131,0.24814118
50,1104,11,73775.72727,1826.454545,15361.05697,3612.752962,3802.897854,105.7594666,3,7748.969998,9943.324488,2194.35449,0.220686199
128,2303,23,46347.16667,2484,28223.74781,3638.956223,3830.480234,168.2999965,3,9404.624831,15823.27833,6418.653502,0.405646249
55,1109,11,63113,16274,9439.248249,3164.234362,3330.773012,63.98763081,3,5399.304233,6016.007802,616.7035686,0.102510434
119,2224,22,63290.76,1177.386667,23288.48087,3771.952994,3970.476836,146.096211,3.053333333,7978.607911,13735.71632,5757.108411,0.419134196
134,2309,23,41844.23529,631.9411765,30962.50935,3568.894482,3756.731033,184.3931983,3,10189.16842,17336.33368,7147.165269,0.412265096
129,2304,23,35833.66667,367.4166667,41261.9981,3295.577039,3469.028462,246.8295253,2.916666667,13232.93936,23206.49055,9973.551193,0.429774212
65,1403,14,67466.57143,7487.571429,16504.30884,3545.547544,3732.155309,113.1153493,3,6590.190718,10634.91202,4044.721299,0.380324848
71,1503,15,58215.75,1661.375,15871.31709,3601.846295,3791.417153,110.5896264,3,7147.110989,10397.44786,3250.336872,0.312609105
113,2106,21,58204.36364,4571,15801.49094,3419.44015,3599.410684,91.87421453,3,5945.283045,8637.856791,2692.573747,0.311717804
121,2226,22,79825.16667,3241.222222,12615.46648,3659.959159,3852.588588,75.63630869,3,5336.361576,7111.196608,1774.835032,0.249583176
143,2405,24,59924,8473.5,13880.04067,3844.130545,4046.453204,90.96268417,3,4611.100656,8552.156263,3941.055607,0.460825958
138,2313,23,45390.36842,1478.105263,19876.98241,3632.644282,3823.836086,121.9215829,3,7143.677165,11462.85906,4319.181898,0.376797959
62,1305,13,63261.8,1045.733333,17453.48289,3677.81479,3871.383989,122.9759721,3,8533.918746,11561.99094,3028.072196,0.261898856
101,1910,19,61748.83333,3775.555556,17130.47762,3599.204905,3788.636742,114.7505341,3,5503.145027,10788.6493,5285.504269,0.489913438
94,1903,19,76069.18182,3357.045455,12702.04738,3619.01388,3809.488295,84.17288832,3,4356.483312,7913.79125,3557.307938,0.449507426
23,311,3,63182,79250,5359.889098,3050.384069,3210.930599,38.51510774,3,3444.31654,3621.124672,176.8081321,0.048826856
116,2221,22,52040.33333,2787.466667,23521.29492,3558.158149,3745.42963,148.8832075,3,8083.120281,13997.74498,5914.624696,0.422541253
83,1823,18,51505.625,538.125,38385.0723,3715.988592,3911.566939,236.7452019,3.041666667,10877.94507,22258.37969,11380.43461,0.511287649
4,104,1,74247.59091,3928.5,12571.41816,3565.206323,3752.848761,83.89618686,3,5146.107007,7887.776251,2741.669244,0.347584561
58,1301,13,85366.8,10053.26667,8964.343863,3395.211441,3573.90678,60.19695867,3,5708.86314,5659.615278,-49.24786153,-0.008701627
96,1905,19,60612.05882,2309.058824,17659.79738,3591.016503,3780.017372,118.1724892,3,5631.468345,11110.37568,5478.907332,0.4931343
90,1830,18,52957.23077,2001.076923,30737.69707,3660.383621,3853.035391,195.2749932,3.076923077,9322.812245,18359.42146,9036.609219,0.492205554
59,1302,13,64479.53846,1493.153846,15917.0965,3531.97181,3717.865064,111.3719946,3,8011.739756,10471.00478,2459.265027,0.234864283
120,2225,22,87535.5,26219.5,9307.283741,3623.583156,3814.298059,55.38729128,3,4577.023423,5207.418562,630.3951393,0.121057129
22,250,2,47401.32143,1661.892857,22878.32555,3289.736296,3462.880312,161.2712284,2.964285714,7247.671064,15162.44555,7914.774486,0.521998543
48,1102,11,53111.44444,1579.111111,22245.63496,3789.530502,3988.979476,154.6587972,3.111111111,10499.55734,14540.75606,4041.19872,0.277922187
10,110,1,71046.25,8062.2,15870.66898,3715.043149,3910.571736,106.5904772,3,5997.142894,10021.45468,4024.311787,0.401569624
