ogc_fid,id,district_id,canton_id,income,houses,name,electricity_per_household,consumed_electricity,max_consumed_electricity,area_per_household,persons_per_household,total_funding,total_price,debt,debt_rate
96,133,6,1,85043,19794,Horgen,6692.900424,3512.465899,3697.332525,47.13632025,3,3767.612009,4431.676353,664.064344,0.149844955
23,29,2,1,74259,1428,Flurlingen,10401.03992,3599.921218,3789.390756,69.23614817,3,4596.355556,6509.464443,1913.108886,0.293896511
99,136,6,1,82429,7364,Langnau am Albis,7461.120994,3510.25258,3695.002716,51.48631473,3,3930.736802,4840.655408,909.9186052,0.187974257
257,434,13,2,54456,1346,Courtelary,21550.97325,3659.546805,3852.154532,142.2391839,3,6533.969398,13373.08523,6839.115829,0.511408977
185,325,16,2,56925,169,Busswil bei Melchnau,33974.66272,3140.902367,3306.213018,235.1622592,3,10018.58472,22109.55412,12090.9694,0.54686627
2273,6703,146,26,49849,264,Bourrignon,47906.45076,3679.450758,3873.106061,307.928067,3,13047.30251,28950.87113,15903.56862,0.549329536
94,131,6,1,76327,18382,Adliswil,5747.546839,3365.724622,3542.868023,39.0623504,3,3464.83814,3672.575493,207.7373527,0.056564488
98,135,6,1,142901,8057,Kilchberg (ZH),6596.319598,3304.129949,3478.031525,47.08032775,3,3765.512291,4426.412034,660.8997436,0.149308229
246,417,17,2,57173,233,Niederösch,51107.45494,3909.066524,4114.806867,346.7644152,3,14203.66557,32602.19828,18398.53271,0.564334115
24,30,2,1,77277,2153,Andelfingen,18567.54575,3682.187645,3875.986995,124.8595561,3,6682.233353,11739.08229,5056.848934,0.43077038
261,441,13,2,49826,882,Renan (BE),21246.98866,3520.762472,3706.06576,139.2263468,3,6420.988003,13089.82342,6668.835415,0.509467179
262,442,13,2,59699,195,Romont (BE),23646.68718,3306.730769,3480.769231,160.7230566,3,7227.114622,15110.90737,7883.792752,0.521728613
439,865,18,2,51289,267,Gelterfingen,26719.31086,3371.254682,3548.689139,177.4845701,3,7855.671379,16686.79626,8831.12488,0.529228304
446,873,18,2,52496,274,Kirchenthurnen,18062.64964,3211.45073,3380.474453,122.9723928,3,5811.464729,11561.65442,5750.189687,0.497350075
766,2172,43,10,60897,70,Autafond,47979.54286,4614.285714,4857.142857,290.4202721,4,18136.14031,27304.81814,9168.677838,0.335789742
26,32,2,1,73810,497,Humlikon,17645.50905,4023.641851,4235.412475,119.5863211,3,6484.487043,11243.30174,4758.814699,0.423257759
1588,4846,105,20,57323,391,Raperswilen,41064.96419,3556.425831,3743.606138,267.0204057,3,13515.91825,25104.80265,11588.8844,0.461620215
106,151,7,1,153050,5375,Erlenbach (ZH),5599.539163,3562.27907,3749.767442,38.86727503,3,3457.522814,3654.234839,196.7120258,0.053831249
